Model: "sequential"
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv2d (Conv2D)              (None, 20, 20, 32)        8224      
_________________________________________________________________
conv2d_1 (Conv2D)            (None, 9, 9, 64)          32832     
_________________________________________________________________
conv2d_2 (Conv2D)            (None, 7, 7, 64)          36928     
_________________________________________________________________
flatten (Flatten)            (None, 3136)              0         
_________________________________________________________________
dense (Dense)                (None, 512)               1606144   
_________________________________________________________________
dense_1 (Dense)              (None, 6)                 3078      
=================================================================
Total params: 1,687,206
Trainable params: 1,687,206
Non-trainable params: 0
_________________________________________________________________
None
Training BatchmodeDQNAgent on pong for 3000000 timesteps with seed=0
timestep  episode  avg_return  epsilon
0  334  -21.0  0.100
5000  340  -21.0  0.100
10000  346  -20.99  0.100
15000  353  -20.96  0.100
20000  359  -20.96  0.100
25000  366  -20.93  0.100
30000  372  -20.92  0.100
35000  378  -20.91  0.100
40000  385  -20.91  0.100
45000  391  -20.86  0.100
50000  398  -20.85  0.100
55000  404  -20.82  0.100
60000  410  -20.76  0.100
65000  416  -20.74  0.100
70000  422  -20.7  0.100
75000  428  -20.67  0.100
80000  433  -20.63  0.100
85000  440  -20.62  0.100
90000  446  -20.58  0.100
95000  452  -20.56  0.100
100000  458  -20.57  0.100
105000  465  -20.6  0.100
110000  472  -20.61  0.100
115000  479  -20.62  0.100
120000  485  -20.62  0.100
125000  490  -20.6  0.100
130000  495  -20.58  0.100
135000  500  -20.57  0.100
140000  506  -20.57  0.100
145000  512  -20.61  0.100
150000  519  -20.63  0.100
155000  525  -20.67  0.100
160000  531  -20.72  0.100
165000  538  -20.74  0.100
170000  545  -20.79  0.100
175000  551  -20.82  0.100
180000  557  -20.82  0.100
185000  563  -20.79  0.100
190000  569  -20.76  0.100
195000  574  -20.72  0.100
200000  580  -20.66  0.100
205000  586  -20.64  0.100
210000  592  -20.7  0.100
215000  597  -20.7  0.100
220000  603  -20.74  0.100
225000  607  -20.68  0.100
230000  612  -20.62  0.100
235000  618  -20.6  0.100
240000  623  -20.56  0.100
245000  630  -20.56  0.100
250000  636  -20.54  0.100
255000  641  -20.49  0.100
260000  647  -20.44  0.100
265000  652  -20.4  0.100
270000  656  -20.32  0.100
275000  660  -20.32  0.100
280000  666  -20.33  0.100
285000  670  -20.28  0.100
290000  675  -20.3  0.100
295000  679  -20.31  0.100
300000  683  -20.25  0.100
305000  688  -20.21  0.100
310000  693  -20.19  0.100
315000  698  -20.15  0.100
320000  703  -20.11  0.100
325000  709  -20.15  0.100
330000  714  -20.13  0.100
335000  719  -20.07  0.100
340000  724  -20.01  0.100
345000  728  -19.93  0.100
350000  732  -19.87  0.100
355000  736  -19.84  0.100
360000  740  -19.79  0.100
365000  743  -19.75  0.100
370000  746  -19.67  0.100
375000  749  -19.6  0.100
380000  753  -19.56  0.100
385000  757  -19.5  0.100
390000  759  -19.48  0.100
395000  763  -19.42  0.100
400000  766  -19.36  0.100
405000  769  -19.27  0.100
410000  772  -19.23  0.100
415000  775  -19.18  0.100
